CourseID,PrerequisiteID
CEE474,MSE280
CEE474,CEE300
CEE474,ME330
CEE474,CEE471
CEE483,CEE380
CEE484,CEE483
CEE490,CEE360
CEE490,TAM335
CEE491,CEE202
CEE492,CS101
CEE492,CEE202
CEE492,CEE300
CEE492,CEE330
CEE492,CEE360
CEE493,CEE340
CEE502,CEE401
CEE503,CEE401
CEE503,CEE405
CEE504,CEE401
CEE504,CEE405
CEE505,CEE483
CEE506,CEE406
CEE508,CEE406
CEE509,CEE483
CEE511,CEE408
CEE511,CEE409
CEE511,CEE411
CEE512,CEE310
CEE512,IE310
CEE515,CEE416
CEE517,CEE416
CEE521,CEE420
CEE521,CEE421
CEE521,CEE422
CEE522,CEE420
CEE522,CEE421
CEE522,CEE422
CEE524,CEE420
CEE524,CEE421
CEE524,CEE422
CEE525,CEE420
CEE525,CEE421
CEE525,CEE422
CEE526,CEE420
CEE526,CEE421
CEE526,CEE422
CEE528,CEE420
CEE528,CEE421
CEE528,CEE422
CEE534,MATH285
CEE534,CEE442
CEE534,CEE451
CEE535,CEE202
CEE535,CEE434
CEE537,CEE442
CEE538,CEE442
CEE538,CEE443
CEE538,CEE444
CEE540,CEE440
CEE543,CEE443
CEE543,NRES490
CEE544,CEE442
CEE545,CEE441
CEE550,CEE450
CEE551,CEE451
CEE552,CEE350
CEE552,CEE434
CEE553,TAM335
CEE554,CEE450
CEE555,MATH285
CEE555,TAM335
CEE556,CEE450
CEE557,CEE457
CEE557,MATH285
CEE558,CEE451
CEE559,CEE551
CEE560,CEE462
CEE562,CEE460
CEE562,CEE461
CEE562,CEE472
CEE570,CEE471
CEE570,TAM551
CEE571,CEE471
CEE571,TAM551
CEE572,CEE472
CEE573,CEE472
CEE574,CEE202
CEE574,CEE472
CEE575,CEE471
CEE575,TAM451
CEE575,TAM551
CEE576,CEE471
CEE576,TAM445
CEE576,CEE470
CEE576,ME471
CEE577,CEE471
CEE577,TAM551
CEE577,CEE570
CEE577,ME471
CEE578,CEE470
CEE580,CEE484
CEE581,CEE483
CEE582,CEE483
CEE583,CEE483
CEE585,CEE484
CEE586,CEE483
CEE586,TAM451
CEE587,CEE586
CEE588,CEE472
CEE588,CEE483
CEE589,CEE483
CEE590,CEE483
CEE590,CEE484
CEE591,CEE491
CEE592,ATMS421
CEE592,CEE491
CEE592,NRES439
CEE592,UP456
CEE592,UP480
CEE592,NRES454
CEE592,UP418
CEE593,CEE483
CHBE121,CHEM102
CHBE121,CHEM202
CHBE221,CHEM104
CHBE221,CHEM204
CHBE221,CS101
CHBE321,CHBE221
CHBE321,MATH241
CHBE411,MATH231
CHBE413,MATH225
CHBE413,MATH227
CHBE413,MATH257
CHBE413,MATH415
CHBE415,CHBE411
CHBE415,IE300
CHBE415,STAT400
CHBE421,CHBE221
CHBE421,MATH241
CHBE422,CHBE321
CHBE422,CHBE421
CHBE424,CHBE422
CHBE430,CHBE422
CHBE430,CHBE424
CHBE431,CHBE422
CHBE431,CHBE424
CHBE440,CHBE421
CHBE440,MATH284
CHBE440,MATH285
CHBE440,CS101
CHBE451,CHBE421
CHBE451,MATH285
CHBE452,CHEM442
CHBE452,CHBE321
CHBE456,CHBE321
CHBE456,CHBE421
CHBE456,CHEM444
CHBE458,CHEM102
CHBE458,CHEM104
CHBE458,CHEM202
CHBE458,CHEM204
CHBE461,CHBE321
CHBE461,MATH285
CHBE461,MATH257
CHBE461,MATH415
CHBE472,CHEM202
CHBE472,CHEM203
CHBE472,CHEM204
CHBE472,MATH220
CHBE472,MATH221
CHBE472,PHYS211
CHBE472,PHYS214
CHBE472,MCB450
CHBE474,MATH225
CHBE474,MATH285
CHBE481,CHBE321
CHBE481,CHBE421
CHBE481,CHBE422
CHBE513,CHBE521
CHBE513,CHBE421
CHBE516,CHBE424
CHBE516,CHBE321
CHBE516,CHBE421
CHBE516,CHBE440
CHBE516,MATH284
CHBE516,MATH285
CHBE525,CHBE321
CHBE553,CHEM444
CHBE565,CHBE422
CHBE571,MATH225
CHBE571,MATH241
CHBE571,MATH461
CHBE572,MATH225
CHBE572,MATH241
CHBE580,MCB150
CHBE580,MCB151
CHEM102,MATH112
CHEM103,CHEM102
CHEM105,CHEM102
CHEM105,CHEM103
CHEM108,MATH112
CHEM150,CHEM101
CHEM202,MATH220
CHEM202,CHEM203
CHEM203,CHEM202
CHEM204,CHEM205
